SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,WH_hatchery_id,USGS_id,Chena_Salcha_specimen_id,pct_dry_matter,pct_lipid_dry,pct_protein_est_dry,lipid_g,water_g,protein_g_est,country,broad_group,fine_group,fish_mass_kg,girth_mm,lat_n,long_w,length_nose_fork_mm,ich_visual_count,ich_visual_positive,collection_date,length_mideye_fork_mm
Chena_5_8_11,7.18736668,18.21918755,1.641928523,0.22833333300000003,0.6055056428,0.09026405484,2023,Chena,Spawning,NA,Chena 5 8/11,39-C,0.39449435720000003,0.22880949547838042,0.7711905045216196,0.020610292491711982,0.13825712157083145,0.06946591893745659,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chena_13,2.7317140650000002,18.61474661,NA,NA,0.8532499999999998,0.01342971976,2023,Chena,Spawning,NA,NA,NA,0.14675000000000016,0.09151427434412256,0.9084857256558775,NA,NA,NA,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chena_3_8_7,3.2106455099999995,10.689028279999999,0.7202548089999999,0.207166667,0.6996316759000001,0.1165781684,2023,Chena,Spawning,NA,Chena 3 7/7,3-C,0.3003683240999999,0.38811738471193885,0.6118826152880612,0.02415111059239272,0.14494036242382724,0.03807519398378004,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chena_3_8_10,5.3009710619999995,13.597396810000001,1.7626555660000003,0.33366666700000003,0.6101480941999999,0.13154195899999999,2023,Chena,Spawning,NA,Chena 3 8/10,25-C,0.38985190580000006,0.3374152006005147,0.6625847993994853,0.04389116703018065,0.20358608096811603,0.08618941900170335,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chena_2_8_10,NA,NA,NA,NA,0.6435322172000001,0.1513149858,2023,Chena,Spawning,NA,Chena 2 8/10,24-C,0.3564677827999999,0.42448432397296587,0.5755156760270341,NA,NA,NA,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chena_4,NA,NA,NA,NA,0.6643814460000002,0.09281145445999998,2023,Chena,Spawning,NA,NA,NA,0.33561855399999985,0.2765385088334539,0.7234614911665461,NA,NA,NA,NA,NA,Tanana,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOYU23_004,6.017763437,NA,0.6663849329999999,0.11115,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOYU23_007,6.3412768569999995,NA,0.846902664,0.13355,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,NA,0,FALSE,2023-07-12,803
FOYU23_010,5.251353466,11.35926861,0.825261758,0.157166667,0.5377032056000001,0.17421110909999998,2023,FOYU,Transit,NA,FOYU-2023-010,NA,0.46229679439999993,0.3768382372759105,0.6231617627240895,0.027380179371620367,0.08450902065936775,0.045277466969011894,NA,NA,Canada,NA,NA,66.571148,-145.525657,904,0,FALSE,2023-07-12,848
FOYU23_015,7.332213693000001,15.697573019999998,0.8202276510000001,0.1140125,0.5329078144,0.22526880920000003,2023,FOYU,Transit,NA,FOYU-2023-015,NA,0.4670921856,0.4822791220765823,0.5177208779234177,0.025683460108915004,0.060758152189280004,0.027570887701804995,NA,NA,Canada,NA,NA,66.571148,-145.525657,896,0,FALSE,2023-07-13,838
FOYU23_022,7.027328413,16.307140920000002,0.808219546,0.11520000000000001,0.5690643475999999,0.16642870980000002,2023,FOYU,Transit,NA,FOYU-2023-022,NA,0.4309356524000001,0.3862031578800974,0.6137968421199026,0.019172587368960003,0.06555621284351999,0.030471199787520015,NA,NA,Canada,NA,NA,66.571148,-145.525657,768,0,FALSE,2023-07-13,716
FOYU23_023,3.6957559949999994,NA,0.766140405,0.20875000000000002,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-023,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.568393,-145.491025,808,52,TRUE,2023-07-14,752
FOYU23_024,3.6957559949999994,NA,0.766140405,0.20875000000000002,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-024,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,912,7,TRUE,2023-07-14,832
FOYU23_031,5.332201101000001,NA,0.901526532,0.169125,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-031,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,982,5,TRUE,2023-07-15,902
FOYU23_045,5.416104285,NA,0.5572335649999999,0.10292857100000001,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-045,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,738,0,FALSE,2023-07-20,692
FOYU23_050,4.7538938669999995,NA,0.482933276,0.10163194400000002,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-050,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,766,0,FALSE,2023-07-20,716
FOYU23_058,4.783660643000001,NA,0.6289906390000001,0.1315,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-058,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,862,0,FALSE,2023-07-24,804
FOYU23_061,6.876697281000001,NA,0.9449985190000001,0.1378,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-061,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,916,0,FALSE,2023-07-24,858
FOYU23_062,4.8121582919999994,NA,0.5157761489999999,0.10714285700000001,NA,NA,2023,FOYU,Transit,NA,FOYU-2023-062,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,66.571148,-145.525657,704,0,FALSE,2023-07-24,658
FOYU23_067,5.794241487000001,13.02558098,0.8438437780000001,0.1456,0.5551644494,0.20696862440000005,2023,FOYU,Transit,NA,FOYU-2023-067,NA,0.4448355506,0.4652699725119498,0.5347300274880502,0.030134631712640008,0.08083194383264,0.034633424454719994,NA,NA,Canada,NA,NA,66.561473,-145.359862,878,0,FALSE,2023-07-26,806
FOYU23_077,8.748546158,18.722570219999998,1.4284146979999996,0.15800000000000003,0.5327272881000001,0.1774026097,2023,FOYU,Transit,NA,FOYU-2023-077,NA,0.46727271189999986,0.37965540289877997,0.62034459710122,0.028029612332600005,0.08417091151980004,0.045799476147599986,NA,NA,Canada,NA,NA,66.561473,-145.359862,898,0,FALSE,2023-07-27,832
FOYU23_078,4.959442457000001,10.84307827,0.827404451,0.167285714,0.5426167430000001,0.15857587580000002,2023,FOYU,Transit,NA,FOYU-2023-078,NA,0.45738325699999993,0.3467024062929353,0.6532975937070646,0.026527478606378323,0.09077202928110951,0.04998620611251216,NA,NA,Canada,NA,NA,66.561473,-145.359862,780,0,FALSE,2023-07-28,738
FOYU23_083,6.838154449999999,14.79282263,0.961750506,0.14250000000000002,0.5377383599000001,0.17096378760000003,2023,FOYU,Transit,NA,FOYU-2023-083,NA,0.4622616400999999,0.3698420391599352,0.6301579608400648,0.024362339733000008,0.07662771628575002,0.04150994398124999,NA,NA,Canada,NA,NA,66.561473,-145.359862,922,0,FALSE,2023-08-02,864
