ID,Egg Take Date,Tray_Female .,Hatchery Fish ID,Total Green Eggs,Estimated Percent Fertilized,Pre-eyed Morts,Development checks (% out of 10),Date of Inventory,Field9,Total Eyed Eggs,% Survival Green-Eyed,Green Or Eyed Egg Donations,Inventory after donations,Eyed to Hatch Morts,Total at Hatched Stage,% Survival: Green - Hatch,Hatch to Ponding Morts,Total at Ponding,% Survival: Green - Ponding,Female Notes,Notes,Field22
1,9/4/2023,1--2,F1-2,2046,1,80,0.8,10/24/2023,983,983,0.480449658,,983,469,514,0.251221896,35,479,0.234115347,Partial-Ick,2023 Pre-eyed morts notes - includes 10 eggs for development checks,
2,9/4/2023,1--3,F1-3,4838,0.9,140,1,10/24/2023,659,4039,0.834849111,,4039,115,3924,0.811078958,54,3870,0.799917321,,,
3,9/4/2023,1--4,F1-4,4241,1,20,1,10/24/2023,38,4183,0.98632398,,4183,46,4137,0.975477482,9,4128,0.973355341,Ick,,
4,9/4/2023,1--5,F1-5,4367,1,26,1,10/24/2023,55,4286,0.981451798,,4286,385,3901,0.893290589,35,3866,0.885275933,,,
5,9/8/2023,1--6,F1-6,3413,1,454,0.5,10/28/2023,2140,819,0.23996484,,819,612,207,0.060650454,13,194,0.056841488,Partial-Ick,,
6,9/8/2023,1--7,F1-7,4957,1,14,1,10/28/2023,59,4884,0.985273351,,4884,28,4856,0.979624773,12,4844,0.977203954,,,
7,9/8/2023,1--8,F1-8,1396,0.75,828,0,10/28/2023,568,0,0,,0,0,0,0,0,0,0,Partial/injured-,,
8,9/13/2023,2--2,F2-2,4201,1,124,1,11/2/2023,154,3923,0.93382528,300,3623,262,3361,0.800047608,51,3310,0.787907641,,,
9,9/13/2023,2--3,F2-3,5302,1,16,1,11/2/2023,35,5251,0.990380988,,5251,652,4599,0.867408525,1097,3502,0.66050547,,,
10,9/13/2023,2--4,F2-4,5593,1,17,1,11/2/2023,41,5535,0.989629895,450,5085,23,5062,0.905059896,15,5047,0.902377972,,,
11,9/13/2023,2--5,F2-5,6150,1,936,1,11/2/2023,84,5130,0.834146341,,5130,126,5004,0.813658537,119,4885,0.794308943,,,
12,9/13/2023,2--6,F2-6,4847,1,649,1,11/2/2023,380,3818,0.787703734,,3818,337,3481,0.718176191,14,3467,0.715287807,Ick,,
13,9/13/2023,2--7,F2-7,4255,1,22,1,11/2/2023,127,4106,0.964982374,,4106,85,4021,0.945005875,11,4010,0.942420682,Ick,,
14,9/13/2023,2--8,F2-8,4617,1,101,1,11/2/2023,63,4453,0.964479099,,4453,245,4208,0.911414338,36,4172,0.903617067,Ick,,
15,,,,,,,,,,,,,,,,,,,,,,
