ID,Sample Date,GumCard .,Fish .,External Sex,Internal Sex,Initials,Mesh,METF Length,Weight(kg),Girth(mm),Comments,AdiposeFin,Otolith .,T-Tag .,Genetic Vial .,Ichthyophonus Vial .,Kidney Vial .,Gross lesions on heart or kidney? (describe),Photo taken?,Muscle Biopsy .,Blood Sample .,Skein Sample .,Skein Weight (g),100 egg weight,Ich Sampler,Field26
1,6/10/2023,1,1,2,2,MJ,8.5,780,7.25,480,,,1,696,1,1,1,None on heart,Y,1,N/A,1,436,,"RH, KW, CB",
2,6/12/2023,2,1,1,1,MJR,4,650,6.31,450,,,2,0,2,2,2,"Y - 3-4 spots on heart, liver light",Y,2,N/A,N/A,N/A,,"JC, KW, RH",
3,6/12/2023,2,2,1,,CB,6.5,736,,,,,,695,3,,,,,,,,,,,
4,6/12/2023,3,1,1,,RH,5.25,580,,,,,,0,4,,,,,,,,,,,
5,6/13/2023,4,1,1,1,MJ,6.5,710,4.83,405,,,3,694,5,3,3,Yes on heart,Y,3,N/A,N/A,N/A,,"RH, JC",
6,6/15/2023,5,1,2,,MJR,5.25,833,,,,,,0,6,,,,,,,,,,,
7,6/15/2023,6,1,2,,JN,6.5,790,,,,,,0,7,,,,,,,,,,,
8,6/16/2023,7,1,2,2,CB,8.5,818,8.515,501,,,4,690,8,4,4,"None on heart, liver pale",Y,4,N/A,4,323,,"KW, TG",
9,6/16/2023,7,2,2,,CB,6.5,795,,,,,,0,9,,,,,,,,,,,
10,6/16/2023,7,3,2,1,CB,6.5,663,4.44,395,,,5,689,10,5,5,"Cloudy heart, liver pale",Y,5,N/A,N/A,N/A,,"TG, RH",
11,6/16/2023,8,1,1,,DK,7.5,647,,,,,,0,11,,,,,,,,,,,
12,6/16/2023,8,2,1,1,DK,6.5,655,4.05,395,,,6,688,12,6,6,Liver pale,Y,6,N/A,N/A,N/A,,"JC, RH",
13,6/16/2023,8,3,1,,CB,5.25,646,,,,,,0,13,,,,,,,,,,,
14,6/17/2023,9,1,2,1,MJ,5.25,670,4.87,204,,,7,687,14,7,7,"Cloudy heart, liver pale",Y,7,N/A,N/A,N/A,,"CB, JC",
15,6/17/2023,9,2,1,,MJR,6.5,730,,,,,,0,15,,,,,,,,,,,
16,6/17/2023,9,3,1,1,MJR,6.5,635,3.515,363,,,8,684,16,8,8,"Spots on heart, liver yellow",Y,8,N/A,N/A,N/A,,"CB, JC",
17,6/17/2023,9,4,2,,MJR,6.5,757,,,,,,0,17,,,,,,,,,,,
18,6/17/2023,9,5,2,,MJR,6.5,625,,,,,,0,18,,,,,,,,,,,
19,6/17/2023,9,6,2,1,MJR,6.5,640,4.005,418,,,11,683,19,11,11,Spotting on heart,Y,11,N/A,N/A,N/A,,"CB, JC",
20,6/17/2023,9,7,2,1,MJR,6.5,705,5.395,430,,,10,682,20,10,10,None on heart,Y,10,N/A,N/A,N/A,,"CB, JC",
21,6/17/2023,9,8,2,1,MJR,6.5,627,4.175,404,,,9,680,21,9,9,"Spots on heart, liver yellow",Y,9,N/A,N/A,N/A,,"CB, JC",
