ID,Site,Species,Date,Samplers,Fish Death Time,Blood Drawing Time,Harvest Gear Type,Latitude (N),Longitude (W),Fish ID,specimen_ID,Blood Vial Num,Muscle Vial Num (Vanessa),Muscle Bag Num (PSP - Bruce),Scale Card Num,Pelvic Fin Card,Adipose Fin,Length Mideye Fork (mm),Length Nose Fork (mm),Ich Visual Positive,Ich Visual Count,Photo Taken,Heart Vial Num qPCR,Heart Vial Num Histo,Liver Bag Num,Kidney Bag Num,Egg Vial 1 Num,Egg Vial 2 Num,Digestive Track Bag Num,Sex,Notes,Blood Notes at Fort Yukon
184,Fort Yukon,Chinook,7/11/2023,"Keith Herron, Jaden Andrew",9:46 AM,9:47 AM,Fish Wheel,66.568393,-145.491025,4,4-F,4,4,4,002-2,69909-2,Yes,788,842,No,0,Yes,4,4,4,4,1,1,4,Female,"Not rigor, but blood pooling. Egg vial 001 correct for sampled fish 4","Separated well, < 24 hours"
61,Rapids,Chinook,7/3/2023,"Scott T. Walter, Woods Nystedt",9:54 AM,9:55 AM,Fish Wheel,65.338488,-151.065382,4,4-R,4,4,,002-2,77589-2,Yes,728,794,Yes,400,Yes,4,4,4,4,4,4,4,Female,3 lesions size of quarters,
62,Rapids,Chinook,7/3/2023,"Scott T. Walter, Woods Nystedt",9:09 AM,9:11 AM,Fish Wheel,65.338488,-151.065382,5,5-R,5,5,,002-3,77589-3,Yes,853,930,Yes,47,Yes,5,5,,,5,5,,Female,-,
63,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:17 AM,9:19 AM,Fish Wheel,65.338488,-151.065382,6,6-R,6,6,,003-1,77593-1,Yes,779,838,No,0,Yes,6,6,,,6,6,,Female,"Blood sat for 48 hours at room temp, then serum removed",
187,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",9:26 AM,9:28 AM,Fish Wheel,66.571148,-145.525657,7,7-F,7,7,7,003-1,69905-1,Yes,803,,No,0,Yes,7,7,7,7,7,7,7,Female,,"Separated well, < 24 hours"
66,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:33 AM,9:34 AM,Fish Wheel,65.338488,-151.065382,9,9-R,9,9,,003-4,77593-4,Yes,792,850,No,0,Yes,9,9,,,9,9,,Female,-,
190,Fort Yukon,Chinook,7/12/2023,"Keith Herron, Jaden Andrew",9:43 AM,9:46 AM,Fish Wheel,66.571148,-145.525657,10,10-F,10,10,,003-4,69905-4,Yes,848,904,No,0,Yes,10,10,,,10,10,,Female,,"Separated well, < 24 hours"
1,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:51 AM,9:52 AM,Fish Wheel,65.338488,-151.065382,11,11-R,11,11,,003-6,77593-6,Yes,854,918,No,0,Yes,11,11,,,11,11,,Female,-,
5,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",9:57 AM,9:58 AM,Fish Wheel,65.338488,-151.065382,15,15-R,15,15,,004-3,77583-3,Yes,782,842,No,0,Yes,15,15,,,15,15,,Female,"1 lesion size of a quarter, Blood sat for 36 hours at room temp, then serum removed",
195,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",10:01 AM,10:02 AM,Fish Wheel,66.571148,-145.525657,15,15-F,15,15,,004-1,69913-1,Yes,838,896,No,0,Yes,15,15,,,15,15,,Female,,"Separated well, < 24 hours"
6,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",10:05 AM,10:05 AM,Fish Wheel,65.338488,-151.065382,16,16-R,16,16,,004-4,77583-4,Yes,913,970,No,0,Yes,16,16,,,16,16,,Female,Both gills tore up,
7,Rapids,Chinook,7/5/2023,"Scott T. Walter, Woods Nystedt",8:26 AM,8:27 AM,Fish Wheel,65.338488,-151.065382,17,17-R,17,17,,004-5,77583-5,Yes,800,857,No,0,Yes,17,17,,,17,17,,Female,-,
202,Fort Yukon,Chinook,7/13/2023,"Keith Herron, Jaden Andrew",9:04 AM,9:05 AM,Fish Wheel,66.571148,-145.525657,22,22-F,22,22,,004-8,69913-8,Yes,716,768,No,0,Yes,22,22,,,22,22,,Female,Torpedo fish,Spun 5 mins centrifuge < 24 hours
13,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:07 AM,9:09 AM,Fish Wheel,65.338488,-151.065382,23,23-R,23,23,,005-2,77584-2,Yes,810,871,No,0,Yes,23,23,,,23,23,,Female,"Possible bite/net marks, 1 lesion",
203,Fort Yukon,Chinook,7/14/2023,"Keith Herron, Jaden Andrew",9:11 AM,9:12 AM,Fish Wheel,66.568393,-145.491025,23,23-F,23,23,,005-1,69914-1,Yes,752,808,Yes,52,Yes,23,23,,,23,23,,Female,Gillnet scars,"Separated well, < 24 hours"
14,Rapids,Chinook,7/6/2023,"Scott T. Walter, Woods Nystedt",9:15 AM,9:16 AM,Fish Wheel,65.338488,-151.065382,24,24-R,24,24,,005-3,77584-3,Yes,847,906,Yes,300,Yes,24,24,,,24,24,,Female,1 lesion,
