SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,WH_hatchery_id,USGS_id
Chena _5_(8.11.23),7.18736668,18.21918755,1.641928523,0.228333333,60.55056428,9.026405484,2023,Chena,Spawning,NA,NA
Chena_13,2.731714065,18.61474661,NA,NA,85.325,1.342971976,2023,Chena,Spawning,NA,NA
Chena_3_(7.7.23),3.21064551,10.68902828,0.720254809,0.207166667,69.96316759,11.65781684,2023,Chena,Spawning,NA,NA
Chena_3_8.10.23,5.300971062,13.59739681,1.762655566,0.333666667,61.01480942,13.1541959,2023,Chena,Spawning,NA,NA
CHIN_WH_015,4.951035622,11.80494772,0.878057997,0.1765,58.05965652,24.84365725,2023,WH,Spawning,F1-2,CHINWH015
CHIN_WH_016,6.890928253,16.84091898,1.542771032,0.224166667,59.08223143,12.48311332,2023,WH,Spawning,F1-3,CHINWH016
CHIN_WH_017,7.495125926,17.13395976,1.137760116,0.1518,56.2557282,18.49319768,2023,WH,Spawning,F1-4,CHINWH017
CHIN_WH_018,5.413295558,12.97286566,0.800097732,0.148,58.27216822,12.56455604,2023,WH,Spawning,F1-5,CHINWH018
CHIN_WH_019,4.811665773,11.98899687,0.672830651,0.139833333,59.86598524,12.33608272,2023,WH,Spawning,F1-8,CHINWH020
CHIN_WH_020,3.954475048,9.556822386,0.788827074,0.1995,58.62144457,14.16481303,2023,WH,Spawning,F1-6,CHINWH021
CHIN_WH_021,5.007790703,12.01782992,0.92620608,0.184966667,58.33032472,11.39186584,2023,WH,Spawning,F1-7,CHINWH019
CHIN_WH_025,6.294732214,14.8874954,0.989730333,0.15725,57.71799053,15.69826654,2023,WH,Spawning,F2-2,CHINWH025
Chin_WH_026,5.567346973,13.25276946,0.856428013,0.154266667,57.99106752,16.06927124,2023,WH,Spawning,F2-3,CHINWH026
CHIN_WH_027,5.080565409,12.27958483,0.94540551,0.186,58.62591871,13.92441305,2023,WH,Spawning,F2-4,CHINWH027
CHIN_WH_028,6.436600216,15.71026446,1.433510735,0.22275,59.02933249,13.38602838,2023,WH,Spawning,F2-8,CHINWH028
CHIN_WH_033,5.813632217,13.98387162,0.807166274,0.138875,58.4261614,14.73737066,2023,WH,Spawning,F2-6,CHINWH033
CHIN_WH_034,3.998157739,9.974002997,0.635016144,0.158833333,59.91421158,11.23376861,2023,WH,Spawning,F2-7,CHINWH034
CHIN_WH_035,5.784688358,13.44665338,0.732203082,0.1267,56.98046052,14.24536834,2023,WH,Spawning,F2-8,CHINWH035
FOYU23_004,6.017763437,NA,0.666384933,0.11115,NA,NA,2023,FOYU,Transit,NA,NA
FOYU23_007,6.341276857,NA,0.846902664,0.13355,NA,NA,2023,FOYU,Transit,NA,NA
FOYU23_010,5.251353466,11.35926861,0.825261758,0.157166667,53.77032056,17.42111091,2023,FOYU,Transit,NA,NA
FOYU23_015,7.332213693,15.69757302,0.820227651,0.1140125,53.29078144,22.52688092,2023,FOYU,Transit,NA,NA
FOYU23_022,7.027328413,16.30714092,0.808219546,0.1152,56.90643476,16.64287098,2023,FOYU,Transit,NA,NA
FOYU23_023,3.695755995,NA,0.766140405,0.20875,NA,NA,2023,FOYU,Transit,NA,NA
FOYU23_024,3.695755995,NA,0.766140405,0.20875,NA,NA,2023,FOYU,Transit,NA,NA
FOYU23_031,5.332201101,NA,0.901526532,0.169125,NA,NA,2023,FOYU,Transit,NA,NA
FOYU23_045,5.416104285,NA,0.557233565,0.102928571,NA,NA,2023,FOYU,Transit,NA,NA
