SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,moisture,lipid,year,site,group
Chena _5_(8.11.23),7.187366679891383,18.219187548481624,1.6419285233017287,0.22833333333333333,60.55056428413366,9.026405484314399,2023,Chena,Spawning
Chena_13,2.7317140650316665,18.61474661009654,NA,NA,85.325,1.342971976061165,2023,Chena,Spawning
Chena_3_(7.7.23),3.21064550974566,10.689028275854648,0.7202548093529425,0.20716666666666667,69.96316758747697,11.657816836437949,2023,Chena,Spawning
Chena_3_8.10.23,5.3009710616617305,13.59739681341678,1.7626555659624552,0.33366666666666667,61.01480941976208,13.154195901804314,2023,Chena,Spawning
CHIN_WH_015,4.9510356218815215,11.80494772200056,0.8780579967143569,0.1765,58.05965652304913,24.84365725134007,2023,WH,Spawning
CHIN_WH_016,6.89092825343562,16.84091898050455,1.5427710320161228,0.22416666666666665,59.08223143040636,12.48311331907024,2023,WH,Spawning
Chin_WH_017,7.495125926467236,17.13395975793911,1.1377601156377266,0.1518,56.25572820086536,18.493197682851633,2023,WH,Spawning
Chin_WH_018,5.4132955578041795,12.972865655759866,0.8000977324366145,0.14800000000000002,58.27216822059117,12.564556042857705,2023,WH,Spawning
CHIN_WH_019,4.811665773470754,11.988996868925799,0.6728306511846192,0.13983333333333334,59.865985235661554,12.336082717843052,2023,WH,Spawning
CHIN_WH_020,3.954475048421161,9.556822386158352,0.7888270737873009,0.19949999999999998,58.62144456981188,14.164813026114173,2023,WH,Spawning
CHIN_WH_021,5.00779070269269,12.017829917827363,0.9262060803949097,0.18496666666666667,58.330324718075055,11.391865844148363,2023,WH,Spawning
CHIN_WH_025,6.294732214139847,14.88749539728346,0.9897303330666627,0.15725,57.717990527214845,15.698266544978276,2023,WH,Spawning
Chin_WH_026,5.567346973124632,13.252769457183692,0.8564280129680533,0.15426666666666666,57.9910675190472,16.069271235804596,2023,WH,Spawning
CHIN_WH_027,5.080565409496193,12.279584829865005,0.9454055095071832,0.186,58.62591871070574,13.92441305388899,2023,WH,Spawning
CHIN_WH_028,6.436600215858514,15.710264457774413,1.433510735212217,0.22275,59.029332490496145,13.386028381481513,2023,WH,Spawning
CHIN_WH_033,5.813632216848123,13.983871617315652,0.8071662744332576,0.138875,58.426161395465456,14.737370655311341,2023,WH,Spawning
CHIN_WH_034,3.998157738696664,9.974002996825252,0.6350161443846519,0.15883333333333333,59.91421157614163,11.233768605691132,2023,WH,Spawning
CHIN_WH_035,5.78468835849065,13.446653378022937,0.7322030818975037,0.1267,56.98046052153705,14.2453683406674,2023,WH,Spawning
FOYU23_004,6.017763436876917,NA,0.6663849325277937,0.11115,NA,NA,2023,FOYU,Transit
FOYU23_007,6.341276857490898,NA,0.8469026644194331,0.13355,NA,NA,2023,FOYU,Transit
FOYU23_010,5.251353465523547,11.35926861056689,0.8252617579068239,0.15716666666666668,53.77032055885616,17.42111091468804,2023,FOYU,Transit
